"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.234252930E0,3.775119781E-2,1.750512123E-1,-3.763036728E-1
3.258972168E0,-3.452398777E-1,6.893730164E-1,1.111268997E0
3.283660889E0,-6.615974903E-1,1.142118692E0,2.385532379E0
3.308349610E0,-9.394564629E-1,1.499563217E0,3.377982140E0
3.333038331E0,-1.119130373E0,1.684983969E0,3.880489349E0
3.357727051E0,-1.141714573E0,1.689157963E0,4.036899567E0
3.382415772E0,-1.026302099E0,1.491116047E0,3.607061386E0
3.407104493E0,-8.201301098E-1,1.097836018E0,2.774652481E0
3.431793213E0,-5.037846565E-1,6.398906708E-1,1.669626236E0
3.456481934E0,-1.335778236E-1,1.613540649E-1,3.422231674E-1
3.481140137E0,2.155835629E-1,-2.343397141E-1,-1.074513435E0
3.505859375E0,5.378408432E-1,-5.614259243E-1,-2.395177841E0
3.530517579E0,8.024880886E-1,-7.941181660E-1,-3.568595886E0
3.555236817E0,1.008666039E0,-8.840947151E-1,-4.259967804E0
3.579925538E0,1.052535057E0,-9.134665728E-1,-4.253830910E0
3.604614258E0,9.729871750E-1,-8.571088314E-1,-3.598531723E0
3.629302979E0,7.060022354E-1,-6.557521820E-1,-2.366116524E0
3.653991700E0,3.910517693E-1,-4.488065243E-1,-9.593267441E-1
3.678680420E0,1.155138016E-1,-1.517248154E-1,4.659547806E-1
3.703369141E0,-1.653629541E-1,1.950571537E-1,1.851156235E0
3.728057862E0,-4.411323071E-1,5.219612122E-1,2.959680557E0
3.752746583E0,-6.606876850E-1,8.163621426E-1,3.775320053E0
3.777435303E0,-7.460442781E-1,9.590334892E-1,4.199646950E0
3.802124024E0,-7.090723515E-1,1.027612925E0,4.249309540E0
3.826812745E0,-5.767863989E-1,8.470797539E-1,3.800588608E0
3.851501465E0,-2.594879866E-1,5.457923412E-1,2.883322716E0
3.876190186E0,3.565752506E-2,1.842031479E-1,1.719363213E0
3.900878907E0,3.560619354E-1,-2.726528645E-1,3.198270798E-1
3.925567627E0,7.357648611E-1,-6.631910801E-1,-1.179100990E0
3.950256348E0,9.612226486E-1,-8.999991417E-1,-2.474549294E0
3.974945069E0,1.223840237E0,-1.072711945E0,-3.557837486E0
3.999633790E0,1.339025497E0,-1.098637581E0,-4.092741966E0
4.024322510E0,1.291715145E0,-1.052427530E0,-3.974058151E0
4.049011231E0,1.151420832E0,-8.603075743E-1,-3.295394897E0
4.073699952E0,8.442804813E-1,-6.269266605E-1,-2.028244019E0
4.098388672E0,5.431616306E-1,-3.410484791E-1,-6.260204315E-1
4.123077393E0,1.784920692E-1,2.385950089E-2,8.421773911E-1
4.147766114E0,-1.447904110E-1,4.162418842E-1,2.172471046E0
4.172454834E0,-4.410396814E-1,7.190179825E-1,3.101632118E0
4.197143555E0,-6.971476078E-1,1.051626205E0,3.815638542E0
4.221832276E0,-8.403213024E-1,1.216577530E0,4.084598541E0
4.246520997E0,-8.529775143E-1,1.268813848E0,3.907580376E0
4.271209717E0,-7.804641724E-1,1.204629183E0,3.318607330E0
4.295898438E0,-5.484352112E-1,1.028151989E0,2.388633728E0
4.320587159E0,-2.689511776E-1,6.785476208E-1,1.033100128E0
4.345275879E0,6.381678581E-2,2.257812023E-1,-4.703073502E-1
4.369964600E0,3.704497814E-1,-9.542608261E-2,-1.818195343E0
4.394653321E0,6.628046036E-1,-4.395461082E-1,-3.220940590E0
4.419342041E0,8.863177299E-1,-6.562874317E-1,-4.193856239E0
4.444030762E0,9.660398960E-1,-7.119152546E-1,-4.613598824E0
4.468719483E0,9.059424400E-1,-6.726272106E-1,-4.458796501E0
4.493438721E0,6.621198654E-1,-4.850628376E-1,-3.546094894E0
4.518127442E0,4.541070461E-1,-2.802031040E-1,-2.286334038E0
4.542785645E0,9.314894676E-2,4.965353012E-2,-7.717447281E-1
4.567474366E0,-2.633361816E-1,3.365876675E-1,7.036705017E-1
4.592163086E0,-5.297210217E-1,5.907132626E-1,1.958476067E0
4.616851807E0,-7.713558674E-1,8.165817261E-1,3.106541634E0
4.641540528E0,-9.742653370E-1,9.514987469E-1,3.889008522E0
4.666229249E0,-9.990601540E-1,9.913456440E-1,4.133167267E0
4.690917969E0,-9.250652790E-1,9.113934040E-1,4.010023117E0
4.715606690E0,-7.389082909E-1,7.474007607E-1,3.484506607E0
4.740295411E0,-4.760854244E-1,4.231510162E-1,2.469777107E0
4.764984131E0,-1.462888718E-1,1.101524830E-1,1.263438225E0
4.789672852E0,1.852741241E-1,-2.896418571E-1,-6.035327911E-2
4.814361573E0,5.175061226E-1,-5.943019390E-1,-1.477730751E0
4.839050293E0,8.972632885E-1,-9.176702499E-1,-2.820015907E0
4.863739014E0,1.088762522E0,-1.094312429E0,-3.678662300E0
4.888427735E0,1.256403446E0,-1.196058273E0,-4.103787422E0
4.913116456E0,1.201740980E0,-1.174213648E0,-3.875013351E0
4.937805176E0,1.009598255E0,-9.960069656E-1,-2.954631805E0
4.962493897E0,7.764818668E-1,-7.636270523E-1,-1.790801048E0
4.987182618E0,4.341545105E-1,-4.591567516E-1,-3.633518219E-1
5.011871338E0,1.392177343E-1,-8.681869507E-2,9.670629501E-1
5.036560059E0,-1.258398294E-1,2.093768120E-1,2.127614975E0
5.061248780E0,-4.000215530E-1,4.759025574E-1,3.116754532E0
5.085937500E0,-5.477588177E-1,6.819884777E-1,3.857720375E0
5.110626221E0,-6.512503624E-1,7.486245632E-1,4.116826057E0
5.135314942E0,-5.943000317E-1,7.240180969E-1,3.971542358E0
5.160003663E0,-4.707980156E-1,6.266000271E-1,3.499608040E0
5.184692383E0,-2.751365900E-1,3.938746452E-1,2.559920311E0
5.209381104E0,-1.263928413E-2,1.451501846E-1,1.327360153E0
5.234069825E0,2.519414425E-1,-1.216824055E-1,-1.013393402E-1
5.258758545E0,4.994170666E-1,-3.816502094E-1,-1.565381050E0
5.283447266E0,7.664120197E-1,-6.248095036E-1,-2.968879700E0
5.308166504E0,9.481866360E-1,-7.460346222E-1,-3.813674927E0
5.332824708E0,1.031994104E0,-8.068757057E-1,-4.217812538E0
5.357513428E0,8.939678669E-1,-7.462613583E-1,-3.941148758E0
5.382202149E0,6.908216476E-1,-5.764238834E-1,-3.047960281E0
5.406890870E0,4.068286419E-1,-3.147578239E-1,-1.915897369E0
5.431579590E0,4.740476608E-2,2.572798729E-2,-6.436986923E-1
5.456268311E0,-2.973847389E-1,4.310190678E-1,6.179504395E-1
5.480957032E0,-6.087694168E-1,7.913892269E-1,1.730161667E0
5.505645752E0,-8.702352047E-1,1.035800457E0,2.578619003E0
5.530334473E0,-1.084539175E0,1.193476677E0,3.116886139E0
5.555023194E0,-1.144763708E0,1.159326553E0,3.346703529E0
5.579742432E0,-1.072407484E0,1.067777872E0,3.174202919E0
5.604400635E0,-9.121911526E-1,8.467822075E-1,2.717322350E0
5.629089356E0,-6.707234383E-1,5.739834309E-1,1.937235832E0
5.653778077E0,-4.021799564E-1,2.341382504E-1,8.332290649E-1
5.678466797E0,-1.206235886E-1,-4.400491714E-2,-3.126668930E-1
5.703155518E0,1.585175991E-1,-3.053855896E-1,-1.608046532E0
5.727844239E0,4.296042919E-1,-5.245273113E-1,-2.808354378E0
5.752532959E0,6.332082748E-1,-6.706984043E-1,-3.577209473E0
5.777252198E0,7.151682377E-1,-7.408010960E-1,-3.865230560E0
5.801910401E0,6.936008930E-1,-7.268466949E-1,-3.529537201E0
5.826599122E0,4.945836067E-1,-6.150102615E-1,-2.607680321E0
5.851318360E0,3.177757263E-1,-4.091331959E-1,-1.457218170E0
5.876007081E0,8.450698853E-2,-1.391260624E-1,-2.106838226E-1
5.900695801E0,-1.640508175E-1,1.757233143E-1,9.725141525E-1
5.925384522E0,-3.579924107E-1,4.649772644E-1,1.989585876E0
5.950073243E0,-5.435867310E-1,7.205500603E-1,2.739915848E0
5.974761963E0,-6.452875137E-1,8.227601051E-1,3.215806007E0
5.999450684E0,-6.197509766E-1,7.908875942E-1,3.320211411E0
6.024139405E0,-5.272296667E-1,6.188495159E-1,3.015729904E0
6.048828125E0,-3.220176697E-1,3.871872425E-1,2.456094742E0
6.073516846E0,-5.157983303E-2,9.244704247E-2,1.691481590E0
6.098205567E0,2.605085373E-1,-1.910507679E-1,6.914796829E-1
6.122894288E0,4.705672264E-1,-4.308756590E-1,-2.667675018E-1
6.147583008E0,7.389694452E-1,-6.313716173E-1,-1.308497429E0
6.172271729E0,9.402101040E-1,-7.822649479E-1,-2.317009926E0
6.196960450E0,1.044456005E0,-8.534884453E-1,-2.965824127E0
6.221649170E0,1.098450184E0,-8.946938515E-1,-3.156451225E0
6.246337891E0,1.005211830E0,-8.295649290E-1,-2.824844360E0
6.271026612E0,7.765653133E-1,-6.567628384E-1,-1.985604286E0
6.295715333E0,5.474598408E-1,-4.076857567E-1,-8.753185272E-1
6.320404053E0,2.638628483E-1,-8.970117569E-2,2.540063858E-1
6.345092774E0,1.204240322E-2,2.330086231E-1,1.366526604E0
6.369781495E0,-1.969132423E-1,5.523457527E-1,2.210568428E0
6.394470215E0,-4.165024757E-1,8.431770802E-1,2.826213837E0
6.419158936E0,-5.407997370E-1,1.001822710E0,3.099667549E0
6.443847657E0,-6.448934078E-1,1.039291620E0,3.023459435E0
6.468536377E0,-6.196155548E-1,9.496016502E-1,2.491501808E0
6.493225098E0,-4.560098648E-1,6.973545551E-1,1.773016930E0
6.517913819E0,-2.863044739E-1,4.192457199E-1,7.758464813E-1
6.542602540E0,-5.345296860E-2,1.516885757E-1,-2.817516327E-1
6.567291260E0,2.161703110E-1,-1.193559170E-1,-1.287454605E0
6.591979981E0,4.046690464E-1,-3.036794662E-1,-2.163180351E0
6.616668702E0,5.635919571E-1,-3.930697441E-1,-2.898846626E0
6.641357422E0,6.110475063E-1,-4.396469593E-1,-3.238166809E0
6.666046143E0,6.054935455E-1,-4.047250748E-1,-3.174151421E0
6.690734864E0,4.660310745E-1,-2.969002724E-1,-2.706779480E0
6.715423584E0,2.398271561E-1,-1.589171886E-1,-1.902122498E0
6.740112305E0,-1.619482040E-2,6.148052216E-2,-8.539304733E-1
6.764801026E0,-2.774150372E-1,3.132214546E-1,2.574291229E-1
6.789489747E0,-5.174584389E-1,5.934710503E-1,1.367591858E0
6.814178467E0,-6.689186096E-1,8.286204338E-1,2.168605804E0
6.838867188E0,-7.912271023E-1,1.005931377E0,2.769095421E0
6.863555909E0,-8.098511696E-1,1.038861036E0,2.984898567E0
6.888244629E0,-7.609562874E-1,1.010682583E0,2.890547752E0
6.912933350E0,-5.979356766E-1,8.145191669E-1,2.468806267E0
6.937622071E0,-3.921952248E-1,5.416200161E-1,1.675364494E0
6.962310791E0,-1.482748985E-1,1.654126644E-1,6.573219299E-1
6.986999512E0,1.193337440E-1,-1.755554676E-1,-4.295043945E-1
7.011688233E0,4.320831299E-1,-4.905326366E-1,-1.549140930E0
7.036376954E0,6.519050598E-1,-7.248711586E-1,-2.413047791E0
7.061065674E0,8.278765678E-1,-8.608479500E-1,-2.988162041E0
7.085754395E0,9.069197178E-1,-8.918380737E-1,-3.114761353E0
7.110443116E0,8.721797466E-1,-8.687393665E-1,-2.754025459E0
7.135131836E0,7.305164337E-1,-6.846686602E-1,-2.066812515E0
7.159820557E0,5.376894474E-1,-5.484486818E-1,-1.055283546E0
7.184509278E0,3.298103809E-1,-3.530808687E-1,-7.812118530E-2
7.209197999E0,7.738971710E-2,-1.273593903E-1,9.679975510E-1
7.233886719E0,-1.444611549E-1,1.113374233E-1,1.943600655E0
7.258575440E0,-3.112140894E-1,3.042206764E-1,2.648793221E0
7.283264161E0,-4.172108173E-1,4.933383465E-1,3.137424469E0
7.307952881E0,-4.418630600E-1,5.724315643E-1,3.318410873E0
7.332641602E0,-3.675398827E-1,5.339601040E-1,3.133429527E0
7.357330323E0,-2.049151659E-1,4.211184978E-1,2.627563477E0
7.382019043E0,-3.580105305E-2,2.510423660E-1,1.813970566E0
7.406707764E0,2.073336840E-1,-8.034706116E-3,7.574129105E-1
7.431396485E0,4.266254902E-1,-2.485885620E-1,-4.075679779E-1
7.456085206E0,6.612560749E-1,-4.880690575E-1,-1.552705765E0
7.480773926E0,8.466086388E-1,-6.786196232E-1,-2.591880798E0
7.505462647E0,9.751040936E-1,-7.437674999E-1,-3.180682182E0
7.530151368E0,1.015525579E0,-7.334034443E-1,-3.316969872E0
7.554840088E0,8.997225761E-1,-6.589877605E-1,-2.982951164E0
7.579528809E0,7.437558174E-1,-5.327770710E-1,-2.228430748E0
7.604217530E0,4.524810314E-1,-1.688003540E-1,-1.101163864E0
7.628906250E0,1.872153282E-1,4.283428192E-2,-4.540348053E-2
7.653594971E0,-6.397891045E-2,3.531782627E-1,9.346017838E-1
7.678283692E0,-3.681550026E-1,5.897417068E-1,1.806277275E0
7.702972413E0,-5.460724831E-1,7.631990910E-1,2.417221069E0
7.727661133E0,-7.074978352E-1,9.637169838E-1,2.807928085E0
7.752380372E0,-8.019826412E-1,1.022647381E0,2.922512054E0
7.777069092E0,-7.620034218E-1,9.794449806E-1,2.636722565E0
7.801757813E0,-6.170978546E-1,8.233413696E-1,2.161639214E0
7.826446534E0,-3.845496178E-1,6.611144543E-1,1.318576813E0
7.851135254E0,-1.495933533E-1,3.329691887E-1,2.962169647E-1
7.875793458E0,1.054441929E-1,4.965329170E-2,-7.678756714E-1
7.900482178E0,3.107542992E-1,-1.634137630E-1,-1.826191902E0
7.925170899E0,5.442907810E-1,-3.959255219E-1,-2.802655220E0
7.949890137E0,6.519129276E-1,-5.067801476E-1,-3.341188431E0
7.974578858E0,6.991546154E-1,-5.888650417E-1,-3.489263535E0
7.999267579E0,6.156673431E-1,-5.331077576E-1,-3.073216438E0
8.023956299E0,4.496173859E-1,-3.616392612E-1,-2.245993614E0
8.048645020E0,2.469511032E-1,-2.127490044E-1,-1.203235626E0
8.073333741E0,3.397464752E-4,4.233074188E-2,-3.474998474E-2
8.098022461E0,-1.860139370E-1,2.435803413E-1,1.003113747E0
8.122711182E0,-4.094135761E-1,4.399969578E-1,1.920843124E0
8.147399903E0,-5.462985039E-1,5.707163811E-1,2.591036797E0
8.172088624E0,-6.818389893E-1,5.888552666E-1,2.958729744E0
8.196777344E0,-6.515409946E-1,5.465118885E-1,2.987888336E0
8.221466065E0,-4.754753113E-1,4.222006798E-1,2.739074707E0
8.246154786E0,-3.181746006E-1,2.983596325E-1,2.249099731E0
8.270843506E0,-1.156347990E-1,6.653547287E-2,1.531422615E0
8.295532227E0,1.503241062E-1,-1.949348450E-1,5.493917465E-1
8.320220948E0,3.823968172E-1,-4.466977119E-1,-4.394512177E-1
8.344909668E0,6.437523365E-1,-6.125972271E-1,-1.460503578E0
8.369598389E0,8.333992958E-1,-8.390331268E-1,-2.245960236E0
8.394287110E0,9.530582428E-1,-8.784151077E-1,-2.743407249E0
8.418975831E0,1.002510786E0,-9.281113148E-1,-2.886375427E0
8.443664551E0,8.858211040E-1,-8.238255978E-1,-2.459877968E0
8.468353272E0,7.005088329E-1,-6.326103210E-1,-1.772234917E0
8.493041993E0,5.288110971E-1,-4.493415356E-1,-8.397932053E-1
8.517730713E0,2.701637745E-1,-1.543707848E-1,2.190923691E-1
8.542419434E0,5.532884598E-2,1.151919365E-1,1.198418617E0
8.567108155E0,-1.767870188E-1,4.018342495E-1,1.993191719E0
8.591796875E0,-3.642903566E-1,5.989291668E-1,2.550694466E0
8.616485596E0,-4.410585165E-1,6.819574833E-1,2.855646133E0
8.641174317E0,-4.900161028E-1,6.737754345E-1,2.762964249E0
8.665863038E0,-4.497797489E-1,5.788118839E-1,2.423147202E0
8.690551758E0,-3.498060703E-1,4.313969612E-1,1.785754204E0
8.715240479E0,-1.927487850E-1,2.536294460E-1,9.767999649E-1
8.739929200E0,-2.573013306E-3,4.947924614E-2,8.161544800E-3
8.764617920E0,1.932625771E-1,-1.132237911E-1,-8.970298767E-1
8.789306641E0,3.560523987E-1,-2.869553566E-1,-1.827739716E0
8.813995362E0,4.794816971E-1,-4.365398884E-1,-2.542181015E0
8.838684083E0,5.313916206E-1,-4.716250896E-1,-2.875116348E0
8.863372803E0,4.919197559E-1,-4.502410889E-1,-2.893510818E0
8.888061524E0,3.736133575E-1,-3.762876987E-1,-2.492333412E0
8.912750245E0,2.134702206E-1,-2.182617188E-1,-1.780411720E0
8.937438965E0,-2.222919464E-2,2.403807640E-2,-8.968477249E-1
