"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.795238661E1,-6.846269965E-2,-5.186367035E-2,3.529143333E-2
2.797710585E1,-3.819301724E-2,2.966051102E-1,-2.981829643E-2
2.800176405E1,1.090282202E-2,5.690221786E-1,-4.845452309E-2
2.802645278E1,4.233008623E-2,7.992458344E-1,-5.188536644E-2
2.805117201E1,6.609815359E-2,9.347877502E-1,-1.043218374E-1
2.807586073E1,4.100900888E-2,9.211969376E-1,-1.080048084E-1
2.810054945E1,2.754700184E-2,8.308296204E-1,-9.959685802E-2
2.812523818E1,-2.442687750E-2,6.094999313E-1,-4.842460155E-2
2.814992690E1,-8.613377810E-2,3.343563080E-1,-1.034832001E-2
2.817461562E1,-9.260910749E-2,5.635261536E-3,3.526341915E-2
2.819933486E1,-1.180951893E-1,-2.950372696E-1,8.490300179E-2
2.822405409E1,-1.622206867E-1,-5.821771622E-1,1.442030668E-1
2.824871230E1,-1.403795183E-1,-8.009052277E-1,1.719067097E-1
2.827340102E1,-1.435087025E-1,-8.919591904E-1,1.756249666E-1
2.829812026E1,-1.543163061E-1,-8.822994232E-1,1.823359728E-1
2.832280898E1,-1.085220277E-1,-7.605819702E-1,1.422121525E-1
2.834746718E1,-1.172020435E-1,-5.442905426E-1,1.370520592E-1
2.837218642E1,-6.434363127E-2,-2.961263657E-1,9.734570980E-2
2.839687514E1,-3.247359395E-2,2.904510498E-2,3.577196598E-2
2.842155451E1,-1.122596860E-2,3.115739822E-1,-6.077766418E-3
2.844624323E1,3.165253997E-2,6.065416336E-1,-4.961371422E-2
2.847093195E1,3.976127505E-2,8.042173386E-1,-9.265375137E-2
2.849565119E1,7.772850990E-2,9.123897552E-1,-9.907388687E-2
2.852033991E1,6.162852049E-2,9.195356369E-1,-1.578547955E-1
2.854502863E1,6.348815560E-2,7.476539612E-1,-1.208993196E-1
2.856971735E1,6.726685166E-2,5.575704575E-1,-1.174987555E-1
2.859440607E1,5.777388811E-2,2.684326172E-1,-5.048215389E-2
2.861912531E1,3.178474307E-2,-4.754638672E-2,-5.817413330E-4
2.864378352E1,4.896789789E-3,-3.471984863E-1,2.471947670E-2
2.866847224E1,2.600222826E-3,-6.425342560E-1,6.837666035E-2
2.869316096E1,3.863334656E-2,-7.928123474E-1,5.926406384E-2
2.871788020E1,3.360196948E-2,-8.941764832E-1,6.947362423E-2
2.874256892E1,3.724747896E-2,-8.898124695E-1,9.428453445E-2
2.876725764E1,2.511835098E-2,-7.588815689E-1,6.165754795E-2
