"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.209486814E1,-6.798861921E-2,-1.231737137E-1,5.682444572E-2
2.211955686E1,-7.173967361E-2,2.307128906E-2,-2.584099770E-2
2.214424558E1,-6.728258729E-2,2.450733185E-1,-1.276900768E-1
2.216890379E1,-5.896052718E-2,4.114875793E-1,-1.412551403E-1
2.219359251E1,-5.313256383E-2,5.338525772E-1,-2.457334995E-1
2.221828123E1,-1.805338264E-2,6.458730698E-1,-2.472903728E-1
2.224296995E1,-2.707624435E-2,6.880455017E-1,-2.800371647E-1
2.226765867E1,-1.513662934E-2,6.752376556E-1,-2.669994831E-1
2.229234739E1,-2.739641070E-2,5.647382736E-1,-2.705101967E-1
2.231703611E1,-2.052772045E-2,4.334440231E-1,-2.375900745E-1
2.234172483E1,-1.809054613E-2,2.482624054E-1,-1.823256016E-1
2.236641355E1,-3.895512223E-2,6.571674347E-2,-1.762256622E-1
2.239110227E1,-3.631678224E-2,-1.537799835E-1,-8.990573883E-2
2.241579100E1,-3.503844142E-2,-3.058481216E-1,-7.042884827E-4
2.244047972E1,-5.837571621E-2,-5.019245148E-1,3.971910477E-2
2.246516844E1,-5.389606953E-2,-6.247272491E-1,1.010882854E-1
2.248985716E1,-8.198210597E-2,-6.938123703E-1,1.044538021E-1
2.251454588E1,-7.520082593E-2,-7.167530060E-1,1.170237064E-1
2.253923460E1,-7.459500432E-2,-6.913490295E-1,1.032474041E-1
2.256392332E1,-8.263337612E-2,-6.013097763E-1,8.916974068E-2
2.258861204E1,-6.591829658E-2,-4.372844696E-1,6.344699860E-2
2.261330076E1,-8.860364556E-2,-2.529954910E-1,1.793003082E-2
2.263795896E1,-7.712388039E-2,-5.186557770E-2,-1.487159729E-2
2.266264768E1,-4.019099474E-2,1.570634842E-1,-1.006212234E-1
2.268733640E1,-6.553208828E-2,3.227968216E-1,-1.730818748E-1
2.271202513E1,-8.000499010E-2,4.950046539E-1,-1.987826824E-1
2.273671385E1,-5.000820756E-2,5.877275467E-1,-2.374427319E-1
2.276140257E1,-5.234159529E-2,6.322402954E-1,-2.395188808E-1
2.278609129E1,-3.448766470E-2,6.526584625E-1,-2.558469772E-1
2.281078001E1,1.328378916E-2,6.399602890E-1,-2.477583885E-1
2.283546873E1,2.632275224E-3,4.890432358E-1,-2.395219803E-1
2.286015745E1,1.080943644E-2,3.654031754E-1,-1.954028606E-1
2.288484617E1,3.291659057E-2,1.575374603E-1,-1.146841049E-1
2.290953489E1,1.252315938E-2,-1.053810120E-2,-7.248258591E-2
2.293422361E1,2.651232481E-2,-2.346067429E-1,5.744695663E-3
2.295891233E1,5.124720931E-2,-4.013319016E-1,1.063945293E-1
2.298360105E1,3.368563950E-2,-5.405883789E-1,1.330122948E-1
2.300828977E1,3.105650842E-2,-6.168832779E-1,1.832425594E-1
2.303297850E1,5.757501721E-2,-6.353368759E-1,2.213392258E-1
2.305763670E1,1.755721867E-2,-6.416683197E-1,2.450141907E-1
2.308232542E1,4.194356501E-2,-5.668992996E-1,2.183046341E-1
2.310701414E1,5.395901203E-2,-4.546918869E-1,2.220721245E-1
2.313170286E1,3.903406858E-2,-2.766189575E-1,1.699440479E-1
2.315642210E1,4.663561285E-2,-1.031684875E-1,1.702933311E-1
2.318108030E1,4.397162795E-2,9.765434265E-2,8.671116829E-2
2.320576902E1,3.194108605E-3,2.849597931E-1,4.419517517E-2
2.323045774E1,3.665247560E-2,4.311161041E-1,1.287937164E-2
2.325514646E1,2.628576756E-2,5.999593735E-1,-3.131222725E-2
2.327983518E1,4.653930664E-4,6.767587662E-1,-6.741166115E-2
2.330452390E1,-5.316838622E-3,6.785316467E-1,-9.814381599E-2
2.332921263E1,1.298978925E-3,6.797313690E-1,-5.927634239E-2
2.335390135E1,1.525609195E-2,5.586490631E-1,-7.321095467E-2
2.337859007E1,-1.390549541E-2,4.569034576E-1,-2.464437485E-2
2.340327879E1,-7.181808352E-3,2.508859634E-1,-9.452342987E-3
2.342796751E1,2.426221967E-3,4.964065552E-2,2.663135529E-2
2.345265623E1,2.618879080E-3,-1.211328506E-1,4.480504990E-2
2.347734495E1,-8.186504245E-3,-3.066101074E-1,1.244976521E-1
2.350203367E1,6.417602301E-3,-4.460391998E-1,1.088426113E-1
2.352669187E1,-1.486693323E-2,-5.824861526E-1,1.610693932E-1
2.355138059E1,-4.081949592E-2,-6.134891510E-1,1.686849594E-1
2.357606932E1,-3.744617105E-3,-6.707038879E-1,1.182780266E-1
2.360075804E1,-3.284046054E-2,-6.275978088E-1,1.583311558E-1
2.362544676E1,-1.300978661E-2,-5.157146454E-1,1.212401390E-1
2.365013548E1,-1.404860616E-2,-3.543891907E-1,1.248760223E-1
2.367482420E1,-2.290502191E-2,-1.892318726E-1,2.257895470E-2
2.369951292E1,-1.407277584E-2,-5.143165588E-3,-1.834249496E-2
2.372420164E1,-4.811614752E-3,2.063808441E-1,-5.877137184E-2
2.374889036E1,-2.908688784E-2,3.537693024E-1,-8.475613594E-2
2.377357908E1,-7.373303175E-3,5.003614426E-1,-1.818816662E-1
2.379826780E1,-1.565429568E-2,6.079053879E-1,-1.684722900E-1
2.382295652E1,-3.994473815E-2,6.361303329E-1,-2.095007896E-1
2.384764524E1,-5.572748184E-2,6.358118057E-1,-1.991679668E-1
2.387233396E1,-5.804678798E-2,5.688800812E-1,-1.997737885E-1
2.389702268E1,-6.615331769E-2,4.597768784E-1,-1.754827499E-1
2.392168089E1,-4.913038015E-2,3.183240891E-1,-1.236789227E-1
2.394640013E1,-7.186809182E-2,1.184358597E-1,-1.200933456E-1
2.397105833E1,-5.782228708E-2,-1.016159058E-1,-7.803893089E-2
2.399574705E1,-1.020813286E-1,-2.681980133E-1,-4.967522621E-2
2.402043577E1,-1.236647367E-1,-4.353017807E-1,1.695466042E-2
2.404512449E1,-1.192065775E-1,-5.699720383E-1,3.486514091E-2
2.406981321E1,-6.726250052E-2,-6.507530212E-1,3.330326080E-2
2.409450193E1,-9.014511108E-2,-6.924409866E-1,3.836512566E-2
2.411919065E1,-9.445977211E-2,-6.619625092E-1,3.776097298E-2
2.414387937E1,-9.374287724E-2,-5.835847855E-1,3.163433075E-2
2.416856809E1,-4.969248176E-2,-4.457464218E-1,-4.212760925E-2
2.419325682E1,-5.732455850E-2,-2.705917358E-1,-7.758545876E-2
2.421794554E1,-3.879007697E-2,-1.150665283E-1,-1.202945709E-1
2.424263426E1,-2.229589224E-2,8.493995667E-2,-1.474895477E-1
2.426732298E1,-5.799025297E-3,2.596073151E-1,-1.503674984E-1
2.429201170E1,-2.747148275E-3,4.130325317E-1,-2.075915337E-1
2.431670042E1,1.342105865E-2,5.371255875E-1,-2.084069252E-1
2.434138914E1,2.062013745E-2,6.343851089E-1,-1.921203136E-1
2.436607786E1,-1.395344734E-4,6.262264252E-1,-1.798069477E-1
2.439076658E1,1.285731792E-3,6.207075119E-1,-1.694366932E-1
2.441545530E1,-1.829110086E-2,4.985513687E-1,-1.272196770E-1
2.444011350E1,3.166511655E-3,3.892412186E-1,-7.274580002E-2
2.446480223E1,1.755756140E-2,2.230968475E-1,-3.098630905E-2
2.448949095E1,6.127595901E-3,4.068470001E-2,4.121613503E-2
2.451417967E1,-2.588331699E-2,-1.321496964E-1,8.941435814E-2
2.453886839E1,1.411366463E-2,-3.204126358E-1,1.488935947E-1
2.456355711E1,-2.224858105E-2,-4.717283249E-1,2.294979095E-1
2.458824583E1,1.815375686E-2,-5.576868057E-1,2.138383389E-1
2.461293455E1,2.172526717E-2,-6.310396194E-1,2.103574276E-1
2.463762327E1,3.624856472E-4,-6.276130676E-1,2.282052040E-1
2.466231199E1,2.529734373E-2,-5.622510910E-1,2.143275738E-1
2.468700071E1,7.583245635E-3,-4.521703720E-1,1.444427967E-1
2.471168943E1,2.620786428E-3,-3.384065628E-1,1.546459198E-1
2.473637815E1,9.496852756E-3,-1.439332962E-1,4.891085625E-2
2.476105096E1,5.817413330E-5,3.701782227E-2,5.176520348E-2
2.478573968E1,1.093222201E-2,2.182836533E-1,-2.576804161E-2
2.481042840E1,2.027042210E-2,3.953714371E-1,-4.979467392E-2
2.483511712E1,4.511398077E-2,5.160226822E-1,-1.062746048E-1
2.485980584E1,1.868087053E-2,6.138401031E-1,-1.361322403E-1
2.488446404E1,2.747626603E-2,6.699142456E-1,-1.303031445E-1
2.490915276E1,3.810951114E-2,6.223592758E-1,-4.070115089E-2
2.493384149E1,3.612591326E-2,5.648946762E-1,-4.225659370E-2
2.495853021E1,5.509172380E-2,4.594593048E-1,-2.693676949E-2
2.498321893E1,2.305261791E-2,3.212060928E-1,3.907656670E-2
2.500790765E1,8.336827159E-3,1.166467667E-1,9.936857224E-2
2.503259637E1,9.251385927E-4,-4.268360138E-2,9.183835983E-2
2.505728509E1,5.190372467E-3,-2.201404572E-1,1.557703018E-1
2.508197381E1,-1.205471158E-2,-4.009819031E-1,2.035527229E-1
2.510666253E1,2.345710993E-3,-4.711866379E-1,2.163777351E-1
2.513135125E1,-2.111783624E-2,-5.793476105E-1,2.618057728E-1
2.515603997E1,-1.274402440E-2,-6.105060577E-1,2.425282001E-1
2.518072869E1,-2.009811997E-2,-5.603265762E-1,1.994316578E-1
2.520541741E1,-2.674400806E-2,-4.960546494E-1,1.710939407E-1
2.523010613E1,-3.940606117E-2,-3.964653015E-1,1.074016094E-1
2.525479486E1,-1.245748997E-2,-2.349052429E-1,5.990195274E-2
2.527948358E1,-2.963885665E-2,-3.737831116E-2,-5.484867096E-2
2.530414178E1,-4.673042893E-2,1.291017532E-1,-1.477320194E-1
2.532883050E1,-7.232829928E-2,3.074340820E-1,-1.704976559E-1
2.535351922E1,-4.109624028E-2,4.141626358E-1,-2.559435368E-1
2.537823846E1,-5.860590935E-2,5.130662918E-1,-2.404272556E-1
2.540292718E1,-4.519358277E-2,5.875511169E-1,-2.870035172E-1
2.542758538E1,-4.180753231E-2,5.972967148E-1,-3.020610809E-1
2.545227410E1,-7.664731145E-2,5.449867249E-1,-2.405600548E-1
2.547696282E1,-7.026970387E-2,4.477205276E-1,-2.533023357E-1
2.550165154E1,-8.256474137E-2,3.298473358E-1,-2.125415802E-1
2.552634026E1,-7.782566547E-2,1.318387985E-1,-1.477947235E-1
2.555102899E1,-6.021657586E-2,-4.239082336E-2,-1.083517075E-1
2.557571771E1,-4.243254662E-2,-1.980447769E-1,-3.427910805E-2
2.560040643E1,-6.862401962E-2,-3.679533005E-1,4.616641998E-2
2.562509515E1,-8.933678269E-2,-5.029687881E-1,8.973979950E-2
2.564978387E1,-8.078876138E-2,-6.105642319E-1,6.580734253E-2
